"","genres_1","genres_2","genres_3","genres_4","genres_5","genres_6","genres_7","genres_8","genres_9","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","num_genres"
"149","motown","soul",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/2iE18Oxc8YSumAU232n4rW","2iE18Oxc8YSumAU232n4rW","The Jackson 5",66,"artist","spotify:artist:2iE18Oxc8YSumAU232n4rW","https://open.spotify.com/artist/2iE18Oxc8YSumAU232n4rW",NA,1610119,2
"150","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW","6tbjWDEIzxoDsBA1FuhfPW","Madonna",81,"artist","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","https://open.spotify.com/artist/6tbjWDEIzxoDsBA1FuhfPW",NA,8091156,2
"151","disco","funk","motown","soft rock","soul",NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3VNITwohbvU5Wuy5PC6dsI","3VNITwohbvU5Wuy5PC6dsI","Kool & The Gang",68,"artist","spotify:artist:3VNITwohbvU5Wuy5PC6dsI","https://open.spotify.com/artist/3VNITwohbvU5Wuy5PC6dsI",NA,2543328,5
"152","classic rock","glam rock","rock",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/1dfeR4HaWDbWqFHLkxsg1d","1dfeR4HaWDbWqFHLkxsg1d","Queen",86,"artist","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d",NA,51327794,3
"153","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6XpaIBNiVzIetEPCWDvAFP","6XpaIBNiVzIetEPCWDvAFP","Whitney Houston",77,"artist","spotify:artist:6XpaIBNiVzIetEPCWDvAFP","https://open.spotify.com/artist/6XpaIBNiVzIetEPCWDvAFP",NA,10454301,2
"154","motown","soul",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/7guDJrEfX3qb6FEbdPA5qi","7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder",76,"artist","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","https://open.spotify.com/artist/7guDJrEfX3qb6FEbdPA5qi",NA,6588176,2
"155","glam rock","mellow gold","piano rock","rock",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b","3PhoLpVuITZKcymswpck5b","Elton John",83,"artist","spotify:artist:3PhoLpVuITZKcymswpck5b","https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b",NA,13804976,4
"156","soft rock",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/1zuJe6b1roixEKMOtyrEak","1zuJe6b1roixEKMOtyrEak","Tina Turner",70,"artist","spotify:artist:1zuJe6b1roixEKMOtyrEak","https://open.spotify.com/artist/1zuJe6b1roixEKMOtyrEak",NA,4237833,1
"157","disco","funk","jazz funk","motown","soul",NA,NA,NA,NA,"https://api.spotify.com/v1/artists/4QQgXkCYTt3BlENzhyNETg","4QQgXkCYTt3BlENzhyNETg","Earth, Wind & Fire",76,"artist","spotify:artist:4QQgXkCYTt3BlENzhyNETg","https://open.spotify.com/artist/4QQgXkCYTt3BlENzhyNETg",NA,4448771,5
"158","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2","3WrFJ7ztbogyGnTHbHJFl2","The Beatles",86,"artist","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2",NA,28403131,5
"159","rock-and-roll","rockabilly",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/43ZHCT0cAZBISjO8DG9PnE","43ZHCT0cAZBISjO8DG9PnE","Elvis Presley",79,"artist","spotify:artist:43ZHCT0cAZBISjO8DG9PnE","https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE",NA,9868528,2
"160","album rock","classic rock","hard rock","rock",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/7Ey4PD4MYsKc5I2dolUwbH","7Ey4PD4MYsKc5I2dolUwbH","Aerosmith",76,"artist","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH",NA,14607776,4
"161","disco","soft rock",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3gMaNLQm7D9MornNILzdSl","3gMaNLQm7D9MornNILzdSl","Lionel Richie",71,"artist","spotify:artist:3gMaNLQm7D9MornNILzdSl","https://open.spotify.com/artist/3gMaNLQm7D9MornNILzdSl",NA,3792544,2
