"","genres_1","genres_2","genres_3","genres_4","genres_5","genres_6","genres_7","genres_8","genres_9","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","num_genres"
"32","dance pop","pop","pop rap",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6MF9fzBmfXghAz953czmBC","6MF9fzBmfXghAz953czmBC","Taio Cruz",70,"artist","spotify:artist:6MF9fzBmfXghAz953czmBC","https://open.spotify.com/artist/6MF9fzBmfXghAz953czmBC",NA,2240954,3
"33","dance pop","pop","pop rap","post-teen pop",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/4pADjHPWyrlAF0FA7joK2H","4pADjHPWyrlAF0FA7joK2H","Jay Sean",67,"artist","spotify:artist:4pADjHPWyrlAF0FA7joK2H","https://open.spotify.com/artist/4pADjHPWyrlAF0FA7joK2H",NA,1835109,4
"34","dance pop","miami hip hop","pop",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6S0dmVVn4udvppDhZIWxCr","6S0dmVVn4udvppDhZIWxCr","Sean Kingston",71,"artist","spotify:artist:6S0dmVVn4udvppDhZIWxCr","https://open.spotify.com/artist/6S0dmVVn4udvppDhZIWxCr",NA,3348947,3
"35","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/085pc2PYOi8bGKj0PNjekA","085pc2PYOi8bGKj0PNjekA","will.i.am",75,"artist","spotify:artist:085pc2PYOi8bGKj0PNjekA","https://open.spotify.com/artist/085pc2PYOi8bGKj0PNjekA",NA,4196716,2
"36","dance pop","pop rap","post-teen pop",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5tKXB9uuebKE34yowVaU3C","5tKXB9uuebKE34yowVaU3C","Iyaz",68,"artist","spotify:artist:5tKXB9uuebKE34yowVaU3C","https://open.spotify.com/artist/5tKXB9uuebKE34yowVaU3C",NA,983996,3
"37","dance pop","miami hip hop","pop",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg","0TnOYISbd1XYRBk9myaseg","Pitbull",85,"artist","spotify:artist:0TnOYISbd1XYRBk9myaseg","https://open.spotify.com/artist/0TnOYISbd1XYRBk9myaseg",NA,10785398,3
"38","dance pop","pop","pop rap",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5Y5TRrQiqgUO4S36tzjIRZ","5Y5TRrQiqgUO4S36tzjIRZ","Timbaland",79,"artist","spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ","https://open.spotify.com/artist/5Y5TRrQiqgUO4S36tzjIRZ",NA,2951088,3
"39","dance pop","pop","pop rap",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3sgFRtyBnxXD5ESfmbK4dl","3sgFRtyBnxXD5ESfmbK4dl","LMFAO",67,"artist","spotify:artist:3sgFRtyBnxXD5ESfmbK4dl","https://open.spotify.com/artist/3sgFRtyBnxXD5ESfmbK4dl",NA,4196051,3
"40","dance pop","dancehall","pop","pop rap",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3Isy6kedDrgPYoTS1dazA9","3Isy6kedDrgPYoTS1dazA9","Sean Paul",81,"artist","spotify:artist:3Isy6kedDrgPYoTS1dazA9","https://open.spotify.com/artist/3Isy6kedDrgPYoTS1dazA9",NA,4867116,4
"41","australian hip hop","dance pop","pop",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5yG7ZAZafVaAlMTeBybKAL","5yG7ZAZafVaAlMTeBybKAL","Iggy Azalea",69,"artist","spotify:artist:5yG7ZAZafVaAlMTeBybKAL","https://open.spotify.com/artist/5yG7ZAZafVaAlMTeBybKAL",NA,6601979,3
"42","atl hip hop","dance pop","pop rap","rap","southern hip hop",NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5ndkK3dpZLKtBklKjxNQwT","5ndkK3dpZLKtBklKjxNQwT","B.o.B",74,"artist","spotify:artist:5ndkK3dpZLKtBklKjxNQwT","https://open.spotify.com/artist/5ndkK3dpZLKtBklKjxNQwT",NA,2077001,5
"43","dance pop","pop","urban contemporary",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/2DlGxzQSjYe5N6G9nkYghR","2DlGxzQSjYe5N6G9nkYghR","Jennifer Lopez",77,"artist","spotify:artist:2DlGxzQSjYe5N6G9nkYghR","https://open.spotify.com/artist/2DlGxzQSjYe5N6G9nkYghR",NA,13251982,3
"44","dance pop","pop","uk pop",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5CCwRZC6euC8Odo6y9X8jr","5CCwRZC6euC8Odo6y9X8jr","Rita Ora",72,"artist","spotify:artist:5CCwRZC6euC8Odo6y9X8jr","https://open.spotify.com/artist/5CCwRZC6euC8Odo6y9X8jr",NA,8375485,3
"45","dance pop","gangster rap","hip hop","pop rap","r&b","rap","southern hip hop","trap","urban contemporary","https://api.spotify.com/v1/artists/3aQeKQSyrW4qWr35idm0cy","3aQeKQSyrW4qWr35idm0cy","T-Pain",79,"artist","spotify:artist:3aQeKQSyrW4qWr35idm0cy","https://open.spotify.com/artist/3aQeKQSyrW4qWr35idm0cy",NA,5014717,9
"46","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6LqNN22kT3074XbTVUrhzX","6LqNN22kT3074XbTVUrhzX","Kesha",80,"artist","spotify:artist:6LqNN22kT3074XbTVUrhzX","https://open.spotify.com/artist/6LqNN22kT3074XbTVUrhzX",NA,8154380,2
"47","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/2RdwBSPQiwcmiDo9kixcl8","2RdwBSPQiwcmiDo9kixcl8","Pharrell Williams",81,"artist","spotify:artist:2RdwBSPQiwcmiDo9kixcl8","https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8",NA,4789772,2
"48","canadian latin","canadian pop","dance pop","pop",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/2jw70GZXlAI8QzWeY2bgRc","2jw70GZXlAI8QzWeY2bgRc","Nelly Furtado",78,"artist","spotify:artist:2jw70GZXlAI8QzWeY2bgRc","https://open.spotify.com/artist/2jw70GZXlAI8QzWeY2bgRc",NA,4015857,4
"49","dance pop","neo soul","pop rap","r&b","urban contemporary",NA,NA,NA,NA,"https://api.spotify.com/v1/artists/0ZrpamOxcZybMHGg1AYtHP","0ZrpamOxcZybMHGg1AYtHP","Robin Thicke",64,"artist","spotify:artist:0ZrpamOxcZybMHGg1AYtHP","https://open.spotify.com/artist/0ZrpamOxcZybMHGg1AYtHP",NA,1944369,5
"50","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/1l7ZsJRRS8wlW3WfJfPfNS","1l7ZsJRRS8wlW3WfJfPfNS","Christina Aguilera",79,"artist","spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS","https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS",NA,8467658,2
"51","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3r17AfJCCUqC9Lf0OAc73G","3r17AfJCCUqC9Lf0OAc73G","Fergie",70,"artist","spotify:artist:3r17AfJCCUqC9Lf0OAc73G","https://open.spotify.com/artist/3r17AfJCCUqC9Lf0OAc73G",NA,5778738,2
"52","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/4yiQZ8tQPux8cPriYMWUFP","4yiQZ8tQPux8cPriYMWUFP","Gwen Stefani",74,"artist","spotify:artist:4yiQZ8tQPux8cPriYMWUFP","https://open.spotify.com/artist/4yiQZ8tQPux8cPriYMWUFP",NA,6607191,2
"53","boy band","dance pop","pop",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6Ff53KvcvAj5U7Z1vojB5o","6Ff53KvcvAj5U7Z1vojB5o","*NSYNC",78,"artist","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","https://open.spotify.com/artist/6Ff53KvcvAj5U7Z1vojB5o",NA,2622129,3
"54","dance pop","girl group","pop",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6wPhSqRtPu1UhRCDX5yaDJ","6wPhSqRtPu1UhRCDX5yaDJ","The Pussycat Dolls",70,"artist","spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ","https://open.spotify.com/artist/6wPhSqRtPu1UhRCDX5yaDJ",NA,5724082,3
"55","dance pop","girl group","pop","r&b","urban contemporary",NA,NA,NA,NA,"https://api.spotify.com/v1/artists/1Y8cdNmUJH7yBTd9yOvr5i","1Y8cdNmUJH7yBTd9yOvr5i","Destiny's Child",72,"artist","spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i","https://open.spotify.com/artist/1Y8cdNmUJH7yBTd9yOvr5i",NA,7379617,5
"56","dance pop","hip pop","pop","r&b","urban contemporary",NA,NA,NA,NA,"https://api.spotify.com/v1/artists/2NdeV5rLm47xAvogXrYhJX","2NdeV5rLm47xAvogXrYhJX","Ciara",72,"artist","spotify:artist:2NdeV5rLm47xAvogXrYhJX","https://open.spotify.com/artist/2NdeV5rLm47xAvogXrYhJX",NA,6702924,5
"57","dance pop","hip hop","hip pop","neo soul","pop rap","r&b","rap","urban contemporary","virginia hip hop","https://api.spotify.com/v1/artists/2wIVse2owClT7go1WT98tk","2wIVse2owClT7go1WT98tk","Missy Elliott",71,"artist","spotify:artist:2wIVse2owClT7go1WT98tk","https://open.spotify.com/artist/2wIVse2owClT7go1WT98tk",NA,2534414,9
"58","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/26dSoYclwsYLMAKD3tpOr4","26dSoYclwsYLMAKD3tpOr4","Britney Spears",82,"artist","spotify:artist:26dSoYclwsYLMAKD3tpOr4","https://open.spotify.com/artist/26dSoYclwsYLMAKD3tpOr4",NA,15237177,2
"59","dance pop","r&b","southern hip hop","urban contemporary",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/20s0P9QLxGqKuCsGwFsp7w","20s0P9QLxGqKuCsGwFsp7w","Mario",69,"artist","spotify:artist:20s0P9QLxGqKuCsGwFsp7w","https://open.spotify.com/artist/20s0P9QLxGqKuCsGwFsp7w",NA,3509324,4
"60","dance pop","hip pop","r&b","rap","southern hip hop","trap","urban contemporary",NA,NA,"https://api.spotify.com/v1/artists/0f5nVCcR06GX8Qikz0COtT","0f5nVCcR06GX8Qikz0COtT","Omarion",61,"artist","spotify:artist:0f5nVCcR06GX8Qikz0COtT","https://open.spotify.com/artist/0f5nVCcR06GX8Qikz0COtT",NA,2940946,7
"61","dance pop","r&b","southern hip hop","trap","urban contemporary",NA,NA,NA,NA,"https://api.spotify.com/v1/artists/2iojnBLj0qIMiKPvVhLnsH","2iojnBLj0qIMiKPvVhLnsH","Trey Songz",71,"artist","spotify:artist:2iojnBLj0qIMiKPvVhLnsH","https://open.spotify.com/artist/2iojnBLj0qIMiKPvVhLnsH",NA,7455873,5
"62","dance pop","hip pop","pop rap","r&b","rap","southern hip hop","trap","urban contemporary",NA,"https://api.spotify.com/v1/artists/7352aRY2mqSxBZwzUb6LmA","7352aRY2mqSxBZwzUb6LmA","Bow Wow",60,"artist","spotify:artist:7352aRY2mqSxBZwzUb6LmA","https://open.spotify.com/artist/7352aRY2mqSxBZwzUb6LmA",NA,1491096,8
"63","dance pop","hip pop","r&b","urban contemporary",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5rkVyNGXEgeUqKkB5ccK83","5rkVyNGXEgeUqKkB5ccK83","Ashanti",72,"artist","spotify:artist:5rkVyNGXEgeUqKkB5ccK83","https://open.spotify.com/artist/5rkVyNGXEgeUqKkB5ccK83",NA,3169822,4
"64","contemporary r&b","hip pop","r&b","urban contemporary",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/08p7B5OtcUuVblvkQIlBhJ","08p7B5OtcUuVblvkQIlBhJ","Tyrese",58,"artist","spotify:artist:08p7B5OtcUuVblvkQIlBhJ","https://open.spotify.com/artist/08p7B5OtcUuVblvkQIlBhJ",NA,2526239,4
"65","contemporary r&b","hip pop","r&b","urban contemporary",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/7r8RF1tN2A4CiGEplkp1oP","7r8RF1tN2A4CiGEplkp1oP","Ginuwine",66,"artist","spotify:artist:7r8RF1tN2A4CiGEplkp1oP","https://open.spotify.com/artist/7r8RF1tN2A4CiGEplkp1oP",NA,2624303,4
"66","dance pop","gangster rap","hip hop","pop rap","rap","st louis rap","urban contemporary",NA,NA,"https://api.spotify.com/v1/artists/2gBjLmx6zQnFGQJCAQpRgw","2gBjLmx6zQnFGQJCAQpRgw","Nelly",75,"artist","spotify:artist:2gBjLmx6zQnFGQJCAQpRgw","https://open.spotify.com/artist/2gBjLmx6zQnFGQJCAQpRgw",NA,3019191,7
"67","contemporary r&b","hip pop","r&b","southern hip hop","urban contemporary",NA,NA,NA,NA,"https://api.spotify.com/v1/artists/7G6hXrjGpi6I7waNl4wxAk","7G6hXrjGpi6I7waNl4wxAk","J. Holiday",52,"artist","spotify:artist:7G6hXrjGpi6I7waNl4wxAk","https://open.spotify.com/artist/7G6hXrjGpi6I7waNl4wxAk",NA,1608725,5
"68","dance pop","hip pop","r&b","urban contemporary",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/63wjoROpeh5f11Qm93UiJ1","63wjoROpeh5f11Qm93UiJ1","Keri Hilson",70,"artist","spotify:artist:63wjoROpeh5f11Qm93UiJ1","https://open.spotify.com/artist/63wjoROpeh5f11Qm93UiJ1",NA,2005963,4
"69","hip pop","pop rap","r&b","southern hip hop","trap","urban contemporary",NA,NA,NA,"https://api.spotify.com/v1/artists/1Xfmvd48oOhEWkscWyEbh9","1Xfmvd48oOhEWkscWyEbh9","Lloyd",67,"artist","spotify:artist:1Xfmvd48oOhEWkscWyEbh9","https://open.spotify.com/artist/1Xfmvd48oOhEWkscWyEbh9",NA,2332816,6
"70","contemporary r&b","hip pop","pop rap","r&b","southern hip hop","trap","urban contemporary",NA,NA,"https://api.spotify.com/v1/artists/7LnaAXbDVIL75IVPnndf7w","7LnaAXbDVIL75IVPnndf7w","Jamie Foxx",70,"artist","spotify:artist:7LnaAXbDVIL75IVPnndf7w","https://open.spotify.com/artist/7LnaAXbDVIL75IVPnndf7w",NA,1254135,7
"71","hip pop","r&b","urban contemporary",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/1vfezMIyCr4XUdYRaKIKi3","1vfezMIyCr4XUdYRaKIKi3","Keyshia Cole",70,"artist","spotify:artist:1vfezMIyCr4XUdYRaKIKi3","https://open.spotify.com/artist/1vfezMIyCr4XUdYRaKIKi3",NA,3978045,3
"72","atl hip hop","dance pop","hip pop","r&b","urban contemporary",NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3AuMNF8rQAKOzjYppFNAoB","3AuMNF8rQAKOzjYppFNAoB","Kelly Rowland",69,"artist","spotify:artist:3AuMNF8rQAKOzjYppFNAoB","https://open.spotify.com/artist/3AuMNF8rQAKOzjYppFNAoB",NA,3496207,5
"73","pop",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6ydoSd3N2mwgwBHtF6K7eX","6ydoSd3N2mwgwBHtF6K7eX","Calum Scott",77,"artist","spotify:artist:6ydoSd3N2mwgwBHtF6K7eX","https://open.spotify.com/artist/6ydoSd3N2mwgwBHtF6K7eX",NA,5712736,1
"74","neo soul","pop","pop soul","urban contemporary",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5y2Xq6xcjJb2jVM54GHK3t","5y2Xq6xcjJb2jVM54GHK3t","John Legend",76,"artist","spotify:artist:5y2Xq6xcjJb2jVM54GHK3t","https://open.spotify.com/artist/5y2Xq6xcjJb2jVM54GHK3t",NA,6992872,4
"75","pop","uk pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/4GNC7GD6oZMSxPGyXy4MNB","4GNC7GD6oZMSxPGyXy4MNB","Lewis Capaldi",80,"artist","spotify:artist:4GNC7GD6oZMSxPGyXy4MNB","https://open.spotify.com/artist/4GNC7GD6oZMSxPGyXy4MNB",NA,12814309,2
"76","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/2gsggkzM5R49q6jpPvazou","2gsggkzM5R49q6jpPvazou","Jessie J",72,"artist","spotify:artist:2gsggkzM5R49q6jpPvazou","https://open.spotify.com/artist/2gsggkzM5R49q6jpPvazou",NA,11735269,2
"77","pop","talent show","uk pop",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/4IWBUUAFIplrNtaOHcJPRM","4IWBUUAFIplrNtaOHcJPRM","James Arthur",81,"artist","spotify:artist:4IWBUUAFIplrNtaOHcJPRM","https://open.spotify.com/artist/4IWBUUAFIplrNtaOHcJPRM",NA,18511257,3
"78","pop",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5WUlDfRSoLAfcVSX1WnrxN","5WUlDfRSoLAfcVSX1WnrxN","Sia",85,"artist","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN",NA,28597482,1
"79","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/64M6ah0SkkRsnPGtGiRAbb","64M6ah0SkkRsnPGtGiRAbb","Bebe Rexha",81,"artist","spotify:artist:64M6ah0SkkRsnPGtGiRAbb","https://open.spotify.com/artist/64M6ah0SkkRsnPGtGiRAbb",NA,9309500,2
"80","canadian contemporary r&b","canadian pop","pop",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/2wUjUUtkb5lvLKcGKsKqsR","2wUjUUtkb5lvLKcGKsKqsR","Alessia Cara",73,"artist","spotify:artist:2wUjUUtkb5lvLKcGKsKqsR","https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR",NA,11825633,3
"81","pop",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5YGY8feqx7naU7z4HrwZM6","5YGY8feqx7naU7z4HrwZM6","Miley Cyrus",84,"artist","spotify:artist:5YGY8feqx7naU7z4HrwZM6","https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6",NA,24752449,1
"82","pop","post-teen pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6S2OmqARrzebs0tKUEyXyp","6S2OmqARrzebs0tKUEyXyp","Demi Lovato",78,"artist","spotify:artist:6S2OmqARrzebs0tKUEyXyp","https://open.spotify.com/artist/6S2OmqARrzebs0tKUEyXyp",NA,26697624,2
"83","neo mellow","pop","uk pop",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/4EzkuveR9pLvDVFNx6foYD","4EzkuveR9pLvDVFNx6foYD","James Bay",71,"artist","spotify:artist:4EzkuveR9pLvDVFNx6foYD","https://open.spotify.com/artist/4EzkuveR9pLvDVFNx6foYD",NA,4025548,3
"84","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/4Rxn7Im3LGfyRkY2FlHhWi","4Rxn7Im3LGfyRkY2FlHhWi","Nick Jonas",66,"artist","spotify:artist:4Rxn7Im3LGfyRkY2FlHhWi","https://open.spotify.com/artist/4Rxn7Im3LGfyRkY2FlHhWi",NA,10023484,2
"85","pop","pop r&b",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny","6LuN9FCkKOj5PcnpouEgny","Khalid",85,"artist","spotify:artist:6LuN9FCkKOj5PcnpouEgny","https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny",NA,16341852,2
"86","pop",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/1zNqDE7qDGCsyzJwohVaoX","1zNqDE7qDGCsyzJwohVaoX","Anne-Marie",79,"artist","spotify:artist:1zNqDE7qDGCsyzJwohVaoX","https://open.spotify.com/artist/1zNqDE7qDGCsyzJwohVaoX",NA,12056706,1
"87","pop","uk pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5ZsFI1h6hIdQRw2ti0hz81","5ZsFI1h6hIdQRw2ti0hz81","ZAYN",77,"artist","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81","https://open.spotify.com/artist/5ZsFI1h6hIdQRw2ti0hz81",NA,23212633,2
"88","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/4nDoRrQiYLoBzwC5BhVJzF","4nDoRrQiYLoBzwC5BhVJzF","Camila Cabello",82,"artist","spotify:artist:4nDoRrQiYLoBzwC5BhVJzF","https://open.spotify.com/artist/4nDoRrQiYLoBzwC5BhVJzF",NA,33789109,2
"89","pop",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5JZ7CnR6gTvEMKX4g70Amv","5JZ7CnR6gTvEMKX4g70Amv","Lauv",76,"artist","spotify:artist:5JZ7CnR6gTvEMKX4g70Amv","https://open.spotify.com/artist/5JZ7CnR6gTvEMKX4g70Amv",NA,6301839,1
"90","hip pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6JL8zeS1NmiOftqZTRgdTz","6JL8zeS1NmiOftqZTRgdTz","Meghan Trainor",79,"artist","spotify:artist:6JL8zeS1NmiOftqZTRgdTz","https://open.spotify.com/artist/6JL8zeS1NmiOftqZTRgdTz",NA,15360664,2
"91","electropop","etherpop","indie poptimism","pop",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/26VFTg2z8YR0cCuwLzESi2","26VFTg2z8YR0cCuwLzESi2","Halsey",82,"artist","spotify:artist:26VFTg2z8YR0cCuwLzESi2","https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2",NA,21710765,4
"92","pop","uk dance","uk funky",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6MDME20pz9RveH9rEXvrOM","6MDME20pz9RveH9rEXvrOM","Clean Bandit",77,"artist","spotify:artist:6MDME20pz9RveH9rEXvrOM","https://open.spotify.com/artist/6MDME20pz9RveH9rEXvrOM",NA,5546583,3
"93","pop",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5p7f24Rk5HkUZsaS3BLG5F","5p7f24Rk5HkUZsaS3BLG5F","Hailee Steinfeld",68,"artist","spotify:artist:5p7f24Rk5HkUZsaS3BLG5F","https://open.spotify.com/artist/5p7f24Rk5HkUZsaS3BLG5F",NA,8816551,1
"94","girl group","pop","talent show",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/1l8Fu6IkuTP0U5QetQJ5Xt","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony",69,"artist","spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt","https://open.spotify.com/artist/1l8Fu6IkuTP0U5QetQJ5Xt",NA,16200798,3
"95","boy band","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/7gAppWoH7pcYmphCVTXkzs","7gAppWoH7pcYmphCVTXkzs","The Vamps",67,"artist","spotify:artist:7gAppWoH7pcYmphCVTXkzs","https://open.spotify.com/artist/7gAppWoH7pcYmphCVTXkzs",NA,5862431,2
"96","boy band","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5Rl15oVamLq7FbSb0NNBNy","5Rl15oVamLq7FbSb0NNBNy","5 Seconds of Summer",76,"artist","spotify:artist:5Rl15oVamLq7FbSb0NNBNy","https://open.spotify.com/artist/5Rl15oVamLq7FbSb0NNBNy",NA,10037279,2
"97","pop","post-teen pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/0C8ZW7ezQVs4URX5aX7Kqx","0C8ZW7ezQVs4URX5aX7Kqx","Selena Gomez",82,"artist","spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx",NA,50761808,2
"98","pop","scandipop","swedish electropop","swedish pop",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/1Xylc3o4UrD53lo9CvFvVg","1Xylc3o4UrD53lo9CvFvVg","Zara Larsson",77,"artist","spotify:artist:1Xylc3o4UrD53lo9CvFvVg","https://open.spotify.com/artist/1Xylc3o4UrD53lo9CvFvVg",NA,10550865,4
"99","art pop","dance pop","pop",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms","1HY2Jd0NmPuamShAr6KMms","Lady Gaga",90,"artist","spotify:artist:1HY2Jd0NmPuamShAr6KMms","https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms",NA,31670611,3
"100","canadian pop","candy pop","dance pop","pop",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/0p4nmQO2msCgU4IF37Wi3j","0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne",78,"artist","spotify:artist:0p4nmQO2msCgU4IF37Wi3j","https://open.spotify.com/artist/0p4nmQO2msCgU4IF37Wi3j",NA,11275783,4
"101","dance pop","pop","talent show",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3BmGtnKgCSGYIUhmivXKWX","3BmGtnKgCSGYIUhmivXKWX","Kelly Clarkson",74,"artist","spotify:artist:3BmGtnKgCSGYIUhmivXKWX","https://open.spotify.com/artist/3BmGtnKgCSGYIUhmivXKWX",NA,10569825,3
"102","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/1KCSPY1glIKqW2TotWuXOR","1KCSPY1glIKqW2TotWuXOR","P!nk",82,"artist","spotify:artist:1KCSPY1glIKqW2TotWuXOR","https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR",NA,17122826,2
"103","girl group","pop","talent show","uk pop",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3e7awlrlDSwF3iM0WBjGMp","3e7awlrlDSwF3iM0WBjGMp","Little Mix",74,"artist","spotify:artist:3e7awlrlDSwF3iM0WBjGMp","https://open.spotify.com/artist/3e7awlrlDSwF3iM0WBjGMp",NA,12025922,4
"104","dance pop","pop","uk pop",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6M2wZ9GZgrQXHCFfjv46we","6M2wZ9GZgrQXHCFfjv46we","Dua Lipa",88,"artist","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we",NA,44712376,3
"105","pop",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/1Hsdzj7Dlq2I7tHP7501T4","1Hsdzj7Dlq2I7tHP7501T4","Niall Horan",76,"artist","spotify:artist:1Hsdzj7Dlq2I7tHP7501T4","https://open.spotify.com/artist/1Hsdzj7Dlq2I7tHP7501T4",NA,9915269,1
"106","pop",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5pUo3fmmHT8bhCyHE52hA6","5pUo3fmmHT8bhCyHE52hA6","Liam Payne",62,"artist","spotify:artist:5pUo3fmmHT8bhCyHE52hA6","https://open.spotify.com/artist/5pUo3fmmHT8bhCyHE52hA6",NA,10009332,1
"107","pop",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/57WHJIHrjOE3iAxpihhMnp","57WHJIHrjOE3iAxpihhMnp","Louis Tomlinson",64,"artist","spotify:artist:57WHJIHrjOE3iAxpihhMnp","https://open.spotify.com/artist/57WHJIHrjOE3iAxpihhMnp",NA,7071582,1
