"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"212","So you comment frequently or did I just happen to catch your first comment on this video? Lol","@jonathanaugustin647","https://yt3.ggpht.com/ytc/AIdro_ld50T3Hhxptyduz5SEeGrJ2QgQL7qKII7SE4Ih7DBygqE=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@jonathanaugustin647","UCv6VmpUB7_fTZN2phtfY3_Q","0","8534","2020-02-21T02:54:10Z","2020-02-21T02:54:10Z","UgzuC3zzpRZkjc5Qzsd4AaABAg.958xaQsh63D95HXRrjueyD","UgzuC3zzpRZkjc5Qzsd4AaABAg","jNQXAC9IVRw"
"213","San Diego Zoo y’all are 15 years late but ‘alright’.","@Zenith-js8eo","https://yt3.ggpht.com/ytc/AIdro_mSShrlsrX6uAaPEZMTaGfyj9nsnS9QnqpYL92d8CsP-YY=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Zenith-js8eo","UCUEyVT1qRPGuBBXgTKLFLVA","0","8644","2020-02-21T18:16:04Z","2020-02-21T18:16:04Z","UgzuC3zzpRZkjc5Qzsd4AaABAg.958xaQsh63D95JAwzydm01","UgzuC3zzpRZkjc5Qzsd4AaABAg","jNQXAC9IVRw"
"214","Cool","@mattswifesorrybts","https://yt3.ggpht.com/ax1BB41HBAbwJhnNpstmS9bx_A8xJWIHAlOZkU_eXBmDTN7bFaI5LBIgFjMWkNFs7-SgRdztjlU=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@mattswifesorrybts","UChyPz6OhdgwHHvYIEmgN4RQ","0","6600","2020-02-21T18:34:38Z","2020-02-21T18:34:38Z","UgzuC3zzpRZkjc5Qzsd4AaABAg.958xaQsh63D95JD4-dplZ6","UgzuC3zzpRZkjc5Qzsd4AaABAg","jNQXAC9IVRw"
"215","Yo","@bnelssMviewshourago","https://yt3.ggpht.com/ytc/AIdro_nL94ea67Hi3GW-iziYv1-1_2XvdHGl-q3XyWvgONL99uU02VEiJ93PZG-qHN1GQlkCiA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@bnelssMviewshourago","UCz4zDGkyzuV4SbRUFPSPYAQ","0","6123","2020-02-22T01:40:20Z","2020-02-22T01:40:20Z","UgzuC3zzpRZkjc5Qzsd4AaABAg.958xaQsh63D95JymuPGce_","UgzuC3zzpRZkjc5Qzsd4AaABAg","jNQXAC9IVRw"
"216","San Diego Zoo why am I here?","@wryt19","https://yt3.ggpht.com/6qhp78U-Ijj2OIbG9ERCjCfWTLMrb3DVTTmuvnyaeELomNN_HlGeDNczZSlPqYVEdxjLPvJI8bs=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@wryt19","UC9dwJkZxm-6qWfEwe0UtpLg","0","5634","2020-02-22T18:35:04Z","2020-02-22T18:35:11Z","UgzuC3zzpRZkjc5Qzsd4AaABAg.958xaQsh63D95Lmv3ET28w","UgzuC3zzpRZkjc5Qzsd4AaABAg","jNQXAC9IVRw"
"217","San Diego Zoo lmao","@chunkymonkey259","https://yt3.ggpht.com/ytc/AIdro_m1lxr4ClJPtYSKDAsuOowRhFw8qOJ5xftB7f2g2LprfzqwhQVx7HVbkoRzspNFKcbpIA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@chunkymonkey259","UCY0M0FgFzqwFa8Iqkigu7_w","0","4974","2020-02-23T02:39:30Z","2020-02-23T02:39:30Z","UgzuC3zzpRZkjc5Qzsd4AaABAg.958xaQsh63D95MeMA5Aazh","UgzuC3zzpRZkjc5Qzsd4AaABAg","jNQXAC9IVRw"
"218","yooooo wassup 😂","@jalaluddeenat-tabarithetim593","https://yt3.ggpht.com/SuguxoidZATUeKrNigliwI-CQ5EZ3a18Lci785bD0k0eoYyVl11xjKsXsU1E3wHxCQ9LIMCq-oY=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@jalaluddeenat-tabarithetim593","UCx-PWXFMSMxOgBbwZZ-B-ow","0","4434","2020-02-23T02:46:38Z","2020-02-23T02:46:38Z","UgzuC3zzpRZkjc5Qzsd4AaABAg.958xaQsh63D95MfAQjrG2a","UgzuC3zzpRZkjc5Qzsd4AaABAg","jNQXAC9IVRw"
"219","cool","@killrite","https://yt3.ggpht.com/E9gL3Z64C3CCPc9SoY9h7sJZ70OnTCBeA6KOBkE_g4KBVpkMV41150_fzilpJGlYEbrNRStc6A=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@killrite","UC59gLOCW3A01eQMof_FJljg","0","4003","2020-02-23T03:01:19Z","2020-02-23T03:01:19Z","UgzuC3zzpRZkjc5Qzsd4AaABAg.958xaQsh63D95Mgqy66w7G","UgzuC3zzpRZkjc5Qzsd4AaABAg","jNQXAC9IVRw"
"220","나는 최초의 한국인댓글 ㅋㅋ","@user-im1ey5ze1x","https://yt3.ggpht.com/ytc/AIdro_lJSI-itaBxwzjnsGjqXvg_Sd_LTJ_Aaev54ORbMS4r4Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-im1ey5ze1x","UCCbbkKbdRwSnpocMuljCxCw","0","4384","2020-02-23T03:52:14Z","2020-02-23T03:52:14Z","UgzuC3zzpRZkjc5Qzsd4AaABAg.958xaQsh63D95MmfrZXXEJ","UgzuC3zzpRZkjc5Qzsd4AaABAg","jNQXAC9IVRw"
"221","💔💔💔💔😞😞😞 ютуб умерает 😢😢🫀 пи3дец…..","@Knxite","https://yt3.ggpht.com/7lBs5q-vzdBfqgLhlodSYG7AP0v51B5Fkcx64LelOnkHbM5gM5Lt0p7CXj9ACYV2W7QqPtZcXQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Knxite","UCtMUjT_sYdlXJLMVBDa3Nlw","0","0","2024-08-04T11:08:30Z","2024-08-04T11:08:30Z","Ugxgun8gsqgFMBL-5D94AaABAg.A6iEIOFkQ4uA6iEZ8uRtLO","Ugxgun8gsqgFMBL-5D94AaABAg","jNQXAC9IVRw"
